,Unnamed: 0.1,Unnamed: 0,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,snake_true_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min
0,0,0,0,150,190,520,420,50,,,,110,50,RIGHT,RIGHT,0,FRONT,FRONT,520.0,420.0,50.0
1,1,1,1,150,180,510,420,50,,,,120,50,RIGHT,RIGHT,0,FRONT,FRONT,510.0,420.0,50.0
2,2,2,2,150,170,500,420,50,,,,130,50,RIGHT,RIGHT,0,FRONT,FRONT,500.0,420.0,50.0
3,3,3,3,150,160,490,420,50,,,,140,50,RIGHT,RIGHT,0,FRONT,FRONT,490.0,420.0,50.0
4,4,4,4,150,150,480,420,50,,,,150,50,RIGHT,RIGHT,0,FRONT,FRONT,480.0,420.0,50.0
5,5,5,5,150,140,470,420,50,,,,160,50,RIGHT,RIGHT,0,FRONT,FRONT,470.0,420.0,50.0
6,6,6,6,150,130,460,420,50,,,,170,50,RIGHT,RIGHT,0,FRONT,FRONT,460.0,420.0,50.0
7,7,7,7,150,120,450,420,50,,,,180,50,RIGHT,RIGHT,0,FRONT,FRONT,450.0,420.0,50.0
8,8,8,8,150,110,440,420,50,,,,190,50,RIGHT,RIGHT,0,FRONT,FRONT,440.0,420.0,50.0
9,9,9,9,150,100,430,420,50,,,,200,50,RIGHT,RIGHT,0,FRONT,FRONT,430.0,420.0,50.0
10,10,10,10,150,90,420,420,50,,,,210,50,RIGHT,RIGHT,0,FRONT,FRONT,420.0,420.0,50.0
11,11,11,11,150,80,410,420,50,,,,220,50,RIGHT,RIGHT,0,FRONT,FRONT,410.0,420.0,50.0
12,12,12,12,150,70,400,420,50,,,,230,50,RIGHT,RIGHT,0,FRONT,FRONT,400.0,420.0,50.0
13,13,13,13,150,60,390,420,50,,,,240,50,RIGHT,RIGHT,0,FRONT,FRONT,390.0,420.0,50.0
14,14,14,14,150,50,380,420,50,,,,250,50,RIGHT,RIGHT,0,FRONT,FRONT,380.0,420.0,50.0
15,15,15,15,150,40,370,420,50,,,,260,50,RIGHT,RIGHT,0,FRONT,FRONT,370.0,420.0,50.0
16,16,16,16,150,30,360,420,50,,,,270,50,RIGHT,RIGHT,0,FRONT,FRONT,360.0,420.0,50.0
17,17,17,17,150,20,350,420,50,,,,280,50,RIGHT,RIGHT,0,FRONT,FRONT,350.0,420.0,50.0
18,18,18,18,150,10,340,420,50,,,,290,50,RIGHT,RIGHT,0,FRONT,FRONT,340.0,420.0,50.0
19,19,19,19,150,0,330,420,50,,,,300,50,RIGHT,RIGHT,0,FRONT,FRONT,330.0,420.0,50.0
20,20,20,20,150,-10,320,420,50,,,,310,50,RIGHT,RIGHT,0,FRONT,FRONT,320.0,420.0,50.0
21,21,21,21,150,-20,310,420,50,,,,320,50,RIGHT,RIGHT,0,FRONT,RIGHT,310.0,420.0,50.0
22,22,22,22,20,140,410,320,310,,,,320,60,RIGHT,DOWN,0,RIGHT,FRONT,410.0,320.0,310.0
23,23,23,23,20,130,400,320,310,,,,320,70,DOWN,DOWN,0,FRONT,FRONT,400.0,320.0,310.0
24,24,24,24,20,120,390,320,310,,,,320,80,DOWN,DOWN,0,FRONT,FRONT,390.0,320.0,310.0
25,25,25,25,20,110,380,320,310,,,,320,90,DOWN,DOWN,0,FRONT,FRONT,380.0,320.0,310.0
26,26,26,26,20,100,370,320,310,,,,320,100,DOWN,DOWN,0,FRONT,FRONT,370.0,320.0,310.0
27,27,27,27,20,90,360,320,310,,,,320,110,DOWN,DOWN,0,FRONT,FRONT,360.0,320.0,310.0
28,28,28,28,20,80,350,320,310,,,,320,120,DOWN,DOWN,0,FRONT,FRONT,350.0,320.0,310.0
29,29,29,29,20,70,340,320,310,,,,320,130,DOWN,DOWN,0,FRONT,FRONT,340.0,320.0,310.0
30,30,30,30,20,60,330,320,310,,,,320,140,DOWN,DOWN,0,FRONT,FRONT,330.0,320.0,310.0
31,31,31,31,20,50,320,320,310,,,,320,150,DOWN,DOWN,0,FRONT,FRONT,320.0,320.0,310.0
32,32,32,32,20,40,310,320,310,,,,320,160,DOWN,DOWN,0,FRONT,FRONT,310.0,320.0,310.0
33,33,33,33,20,30,300,320,310,,,,320,170,DOWN,DOWN,0,FRONT,FRONT,300.0,320.0,310.0
34,34,34,34,20,20,290,320,310,,,,320,180,DOWN,DOWN,0,FRONT,FRONT,290.0,320.0,310.0
35,35,35,35,20,10,280,320,310,,,,320,190,DOWN,DOWN,0,FRONT,FRONT,280.0,320.0,310.0
36,36,36,36,20,0,270,320,310,,,,320,200,DOWN,DOWN,0,FRONT,RIGHT,270.0,320.0,310.0
37,37,37,37,0,10,310,200,270,,,,310,200,DOWN,LEFT,0,RIGHT,FRONT,310.0,200.0,270.0
38,38,38,38,0,0,300,200,270,,,,300,200,LEFT,LEFT,0,FRONT,FRONT,300.0,200.0,270.0
39,39,39,39,-30,40,290,200,270,,,,290,200,LEFT,LEFT,1,FRONT,FRONT,290.0,200.0,270.0
40,40,40,40,-30,30,280,200,270,,,,280,200,LEFT,LEFT,1,FRONT,FRONT,280.0,200.0,270.0
41,41,41,41,-30,20,270,200,270,,,,270,200,LEFT,LEFT,1,FRONT,FRONT,270.0,200.0,270.0
