,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score
0,1,410,160,520,420,50,,,,110,50,RIGHT,RIGHT,0
1,3,410,150,510,420,50,,,,120,50,RIGHT,RIGHT,0
2,5,410,140,500,420,50,,,,130,50,RIGHT,RIGHT,0
3,7,410,130,490,420,50,,,,140,50,RIGHT,RIGHT,0
4,9,410,120,480,420,50,,,,150,50,RIGHT,RIGHT,0
5,11,410,110,470,420,50,,,,160,50,RIGHT,RIGHT,0
6,13,410,100,460,420,50,,,,170,50,RIGHT,RIGHT,0
7,15,410,90,450,420,50,,,,180,50,RIGHT,RIGHT,0
8,17,410,80,440,420,50,,,,190,50,RIGHT,RIGHT,0
9,19,410,70,430,420,50,,,,200,50,RIGHT,RIGHT,0
10,21,410,60,420,420,50,,,,210,50,RIGHT,RIGHT,0
11,23,410,50,410,420,50,,,,220,50,RIGHT,RIGHT,0
12,25,410,40,400,420,50,,,,230,50,RIGHT,RIGHT,0
13,27,410,30,390,420,50,,,,240,50,RIGHT,RIGHT,0
14,29,410,20,380,420,50,,,,250,50,RIGHT,RIGHT,0
15,31,410,10,370,420,50,,,,260,50,RIGHT,RIGHT,0
16,33,-10,400,410,260,370,,,,260,60,RIGHT,DOWN,0
17,35,-10,390,400,260,370,,,,260,70,DOWN,DOWN,0
18,37,-10,380,390,260,370,,,,260,80,DOWN,DOWN,0
19,39,-10,370,380,260,370,,,,260,90,DOWN,DOWN,0
20,41,-10,360,370,260,370,,,,260,100,DOWN,DOWN,0
21,43,-10,350,360,260,370,,,,260,110,DOWN,DOWN,0
22,45,-10,340,350,260,370,,,,260,120,DOWN,DOWN,0
23,47,-10,330,340,260,370,,,,260,130,DOWN,DOWN,0
24,49,-10,320,330,260,370,,,,260,140,DOWN,DOWN,0
25,51,-10,310,320,260,370,,,,260,150,DOWN,DOWN,0
26,53,-10,300,310,260,370,,,,260,160,DOWN,DOWN,0
27,55,-10,290,300,260,370,,,,260,170,DOWN,DOWN,0
28,57,-10,280,290,260,370,,,,260,180,DOWN,DOWN,0
29,59,-10,270,280,260,370,,,,260,190,DOWN,DOWN,0
30,61,-10,260,270,260,370,,,,260,200,DOWN,DOWN,0
31,63,-10,250,260,260,370,,,,260,210,DOWN,DOWN,0
32,65,-10,240,250,260,370,,,,260,220,DOWN,DOWN,0
33,67,-10,230,240,260,370,,,,260,230,DOWN,DOWN,0
34,69,-10,220,230,260,370,,,,260,240,DOWN,DOWN,0
35,71,-10,210,220,260,370,,,,260,250,DOWN,DOWN,0
36,73,-10,200,210,260,370,,,,260,260,DOWN,DOWN,0
37,75,-10,190,200,260,370,,,,260,270,DOWN,DOWN,0
38,77,-10,180,190,260,370,,,,260,280,DOWN,DOWN,0
39,79,-10,170,180,260,370,,,,260,290,DOWN,DOWN,0
40,81,-10,160,170,260,370,,,,260,300,DOWN,DOWN,0
41,83,-10,150,160,260,370,,,,260,310,DOWN,DOWN,0
42,85,-10,140,150,260,370,,,,260,320,DOWN,DOWN,0
43,87,-10,130,140,260,370,,,,260,330,DOWN,DOWN,0
44,89,-10,120,130,260,370,,,,260,340,DOWN,DOWN,0
45,91,-10,110,120,260,370,,,,260,350,DOWN,DOWN,0
46,93,-10,100,110,260,370,,,,260,360,DOWN,DOWN,0
47,95,-10,90,100,260,370,,,,260,370,DOWN,DOWN,0
48,97,-10,80,90,260,370,,,,260,380,DOWN,DOWN,0
49,99,-10,70,80,260,370,,,,260,390,DOWN,DOWN,0
50,101,-10,60,70,260,370,,,,260,400,DOWN,DOWN,0
51,103,-10,50,60,260,370,,,,260,410,DOWN,DOWN,0
52,105,-10,40,50,260,370,,,,260,420,DOWN,DOWN,0
53,107,-10,30,40,260,370,,,,260,430,DOWN,DOWN,0
54,109,-10,20,30,260,370,,,,260,440,DOWN,DOWN,0
55,111,-10,10,20,260,370,,,,260,450,DOWN,DOWN,0
56,113,-10,0,10,260,370,,,,260,460,DOWN,DOWN,0
57,115,0,0,360,10,460,,,,270,460,DOWN,RIGHT,0
58,117,-440,330,350,10,460,,,,280,460,RIGHT,RIGHT,1
59,119,-440,320,340,10,460,,,,290,460,RIGHT,RIGHT,1
60,121,-440,310,330,10,460,,,,300,460,RIGHT,RIGHT,1
61,123,-440,300,320,10,460,,,,310,460,RIGHT,RIGHT,1
62,125,-440,290,310,10,460,,,,320,460,RIGHT,RIGHT,1
63,127,-440,280,300,10,460,,,,330,460,RIGHT,RIGHT,1
64,129,-440,270,290,10,460,,,,340,460,RIGHT,RIGHT,1
65,131,-440,260,280,10,460,,,,350,460,RIGHT,RIGHT,1
66,133,-440,250,270,10,460,,,,360,460,RIGHT,RIGHT,1
67,135,-440,240,260,10,460,,,,370,460,RIGHT,RIGHT,1
68,137,-440,230,250,10,460,,,,380,460,RIGHT,RIGHT,1
69,139,-440,220,240,10,460,,,,390,460,RIGHT,RIGHT,1
70,141,-440,210,230,10,460,,,,400,460,RIGHT,RIGHT,1
71,143,-440,200,220,10,460,,,,410,460,RIGHT,RIGHT,1
72,145,-440,190,210,10,460,,,,420,460,RIGHT,RIGHT,1
73,147,-440,180,200,10,460,,,,430,460,RIGHT,RIGHT,1
74,149,-440,170,190,10,460,,,,440,460,RIGHT,RIGHT,1
75,151,-440,160,180,10,460,,,,450,460,RIGHT,RIGHT,1
76,153,-440,150,170,10,460,,,,460,460,RIGHT,RIGHT,1
77,155,-440,140,160,10,460,,,,470,460,RIGHT,RIGHT,1
78,157,-440,130,150,10,460,,,,480,460,RIGHT,RIGHT,1
79,159,-440,120,140,10,460,,,,490,460,RIGHT,RIGHT,1
80,161,-440,110,130,10,460,,,,500,460,RIGHT,RIGHT,1
