,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score
0,0,350,180,520,420,50,,,,110,50,RIGHT,RIGHT,0
1,1,350,170,510,420,50,,,,120,50,RIGHT,RIGHT,0
2,2,350,160,500,420,50,,,,130,50,RIGHT,RIGHT,0
3,3,350,150,490,420,50,,,,140,50,RIGHT,RIGHT,0
4,4,350,140,480,420,50,,,,150,50,RIGHT,RIGHT,0
5,5,350,130,470,420,50,,,,160,50,RIGHT,RIGHT,0
6,6,350,120,460,420,50,,,,170,50,RIGHT,RIGHT,0
7,7,350,110,450,420,50,,,,180,50,RIGHT,RIGHT,0
8,8,350,100,440,420,50,,,,190,50,RIGHT,RIGHT,0
9,9,350,90,430,420,50,,,,200,50,RIGHT,RIGHT,0
10,10,350,80,420,420,50,,,,210,50,RIGHT,RIGHT,0
11,11,350,70,410,420,50,,,,220,50,RIGHT,RIGHT,0
12,12,350,60,400,420,50,,,,230,50,RIGHT,RIGHT,0
13,13,350,50,390,420,50,,,,240,50,RIGHT,RIGHT,0
14,14,350,40,380,420,50,,,,250,50,RIGHT,RIGHT,0
15,15,350,30,370,420,50,,,,260,50,RIGHT,RIGHT,0
16,16,350,20,360,420,50,,,,270,50,RIGHT,RIGHT,0
17,17,350,10,350,420,50,,,,280,50,RIGHT,RIGHT,0
18,18,350,0,340,420,50,,,,290,50,RIGHT,RIGHT,0
19,19,350,-10,330,420,50,,,,300,50,RIGHT,RIGHT,0
20,20,10,340,410,300,330,,,,300,60,RIGHT,DOWN,0
21,21,10,330,400,300,330,,,,300,70,DOWN,DOWN,0
22,22,10,320,390,300,330,,,,300,80,DOWN,DOWN,0
23,23,10,310,380,300,330,,,,300,90,DOWN,DOWN,0
24,24,10,300,370,300,330,,,,300,100,DOWN,DOWN,0
25,25,10,290,360,300,330,,,,300,110,DOWN,DOWN,0
26,26,10,280,350,300,330,,,,300,120,DOWN,DOWN,0
27,27,10,270,340,300,330,,,,300,130,DOWN,DOWN,0
28,28,-270,0,290,130,340,,,,290,130,DOWN,LEFT,0
29,29,0,260,330,290,340,,,,290,140,LEFT,DOWN,0
30,30,0,250,320,290,340,,,,290,150,DOWN,DOWN,0
31,31,0,240,310,290,340,,,,290,160,DOWN,DOWN,0
32,32,0,230,300,290,340,,,,290,170,DOWN,DOWN,0
33,33,0,220,290,290,340,,,,290,180,DOWN,DOWN,0
34,34,0,210,280,290,340,,,,290,190,DOWN,DOWN,0
35,35,0,200,270,290,340,,,,290,200,DOWN,DOWN,0
36,36,0,190,260,290,340,,,,290,210,DOWN,DOWN,0
37,37,0,180,250,290,340,,,,290,220,DOWN,DOWN,0
38,38,0,170,240,290,340,,,,290,230,DOWN,DOWN,0
39,39,0,160,230,290,340,,,,290,240,DOWN,DOWN,0
40,40,0,150,220,290,340,,,,290,250,DOWN,DOWN,0
41,41,0,140,210,290,340,,,,290,260,DOWN,DOWN,0
42,42,0,130,200,290,340,,,,290,270,DOWN,DOWN,0
43,43,0,120,190,290,340,,,,290,280,DOWN,DOWN,0
44,44,0,110,180,290,340,,,,290,290,DOWN,DOWN,0
45,45,0,100,170,290,340,,,,290,300,DOWN,DOWN,0
46,46,0,90,160,290,340,,,,290,310,DOWN,DOWN,0
47,47,0,80,150,290,340,,,,290,320,DOWN,DOWN,0
48,48,0,70,140,290,340,,,,290,330,DOWN,DOWN,0
49,49,0,60,130,290,340,,,,290,340,DOWN,DOWN,0
50,50,0,50,120,290,340,,,,290,350,DOWN,DOWN,0
51,51,0,40,110,290,340,,,,290,360,DOWN,DOWN,0
52,52,0,30,100,290,340,,,,290,370,DOWN,DOWN,0
53,53,0,20,90,290,340,,,,290,380,DOWN,DOWN,0
54,54,0,10,80,290,340,,,,290,390,DOWN,DOWN,0
55,55,0,0,70,290,340,,,,290,400,DOWN,DOWN,0
56,56,-140,10,60,290,340,,,,290,410,DOWN,DOWN,1
57,57,10,130,330,60,410,,,,300,410,DOWN,RIGHT,1
