,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min
0,0,240,130,520,420,50,,,,110,50,RIGHT,RIGHT,0,FRONT,520,420,50
1,1,240,120,510,420,50,,,,120,50,RIGHT,RIGHT,0,FRONT,510,420,50
2,2,240,110,500,420,50,,,,130,50,RIGHT,RIGHT,0,FRONT,500,420,50
3,3,240,100,490,420,50,,,,140,50,RIGHT,RIGHT,0,FRONT,490,420,50
4,4,240,90,480,420,50,,,,150,50,RIGHT,RIGHT,0,FRONT,480,420,50
5,5,240,80,470,420,50,,,,160,50,RIGHT,RIGHT,0,FRONT,470,420,50
6,6,240,70,460,420,50,,,,170,50,RIGHT,RIGHT,0,FRONT,460,420,50
7,7,240,60,450,420,50,,,,180,50,RIGHT,RIGHT,0,FRONT,450,420,50
8,8,240,50,440,420,50,,,,190,50,RIGHT,RIGHT,0,FRONT,440,420,50
9,9,240,40,430,420,50,,,,200,50,RIGHT,RIGHT,0,FRONT,430,420,50
10,10,240,30,420,420,50,,,,210,50,RIGHT,RIGHT,0,FRONT,420,420,50
11,11,240,20,410,420,50,,,,220,50,RIGHT,RIGHT,0,FRONT,410,420,50
12,12,240,10,400,420,50,,,,230,50,RIGHT,RIGHT,0,FRONT,400,420,50
13,13,240,0,390,420,50,,,,240,50,RIGHT,RIGHT,0,FRONT,390,420,50
14,14,240,-10,380,420,50,,,,250,50,RIGHT,DOWN,0,RIGHT,380,420,50
15,15,10,230,410,250,380,,,,250,60,DOWN,DOWN,0,FRONT,410,250,380
16,16,10,220,400,250,380,,,,250,70,DOWN,DOWN,0,FRONT,400,250,380
17,17,10,210,390,250,380,,,,250,80,DOWN,DOWN,0,FRONT,390,250,380
18,18,10,200,380,250,380,,,,250,90,DOWN,DOWN,0,FRONT,380,250,380
19,19,10,190,370,250,380,,,,250,100,DOWN,DOWN,0,FRONT,370,250,380
20,20,10,180,360,250,380,,,,250,110,DOWN,DOWN,0,FRONT,360,250,380
21,21,10,170,350,250,380,,,,250,120,DOWN,DOWN,0,FRONT,350,250,380
22,22,10,160,340,250,380,,,,250,130,DOWN,DOWN,0,FRONT,340,250,380
23,23,10,150,330,250,380,,,,250,140,DOWN,DOWN,0,FRONT,330,250,380
24,24,10,140,320,250,380,,,,250,150,DOWN,DOWN,0,FRONT,320,250,380
25,25,10,130,310,250,380,,,,250,160,DOWN,DOWN,0,FRONT,310,250,380
26,26,10,120,300,250,380,,,,250,170,DOWN,DOWN,0,FRONT,300,250,380
27,27,10,110,290,250,380,,,,250,180,DOWN,DOWN,0,FRONT,290,250,380
28,28,10,100,280,250,380,,,,250,190,DOWN,DOWN,0,FRONT,280,250,380
29,29,10,90,270,250,380,,,,250,200,DOWN,DOWN,0,FRONT,270,250,380
30,30,10,80,260,250,380,,,,250,210,DOWN,DOWN,0,FRONT,260,250,380
31,31,10,70,250,250,380,,,,250,220,DOWN,DOWN,0,FRONT,250,250,380
32,32,10,60,240,250,380,,,,250,230,DOWN,DOWN,0,FRONT,240,250,380
33,33,10,50,230,250,380,,,,250,240,DOWN,DOWN,0,FRONT,230,250,380
34,34,10,40,220,250,380,,,,250,250,DOWN,DOWN,0,FRONT,220,250,380
35,35,10,30,210,250,380,,,,250,260,DOWN,DOWN,0,FRONT,210,250,380
36,36,10,20,200,250,380,,,,250,270,DOWN,DOWN,0,FRONT,200,250,380
37,37,10,10,190,250,380,,,,250,280,DOWN,DOWN,0,FRONT,190,250,380
38,38,10,0,180,250,380,,,,250,290,DOWN,LEFT,0,RIGHT,180,250,380
39,39,0,0,240,290,180,,,,240,290,LEFT,LEFT,0,FRONT,240,290,180
40,40,150,-100,230,290,180,,,,230,290,LEFT,LEFT,1,FRONT,230,290,180
41,41,150,-110,220,290,180,,,,220,290,LEFT,UP,1,RIGHT,220,290,180
42,42,110,140,280,410,220,,,,220,280,UP,UP,1,FRONT,280,410,220
43,43,110,130,270,410,220,,,,220,270,UP,UP,1,FRONT,270,410,220
44,44,110,120,260,410,220,,,,220,260,UP,UP,1,FRONT,260,410,220
45,45,110,110,250,410,220,,,,220,250,UP,UP,1,FRONT,250,410,220
46,46,110,100,240,410,220,,,,220,240,UP,UP,1,FRONT,240,410,220
47,47,110,90,230,410,220,,,,220,230,UP,UP,1,FRONT,230,410,220
48,48,110,80,220,410,220,,,,220,220,UP,UP,1,FRONT,220,410,220
49,49,110,70,210,410,220,,,,220,210,UP,UP,1,FRONT,210,410,220
50,50,110,60,200,410,220,,,,220,200,UP,UP,1,FRONT,200,410,220
51,51,110,50,190,410,220,,,,220,190,UP,UP,1,FRONT,190,410,220
52,52,110,40,180,410,220,,,,220,180,UP,UP,1,FRONT,180,410,220
53,53,110,30,170,410,220,,,,220,170,UP,UP,1,FRONT,170,410,220
54,54,110,20,160,410,220,,,,220,160,UP,UP,1,FRONT,160,410,220
55,55,110,10,150,410,220,,,,220,150,UP,UP,1,FRONT,150,410,220
56,56,110,0,140,410,220,,,,220,140,UP,RIGHT,1,RIGHT,140,410,220
57,57,0,100,400,330,140,,,,230,140,RIGHT,RIGHT,1,FRONT,400,330,140
58,58,0,90,390,330,140,,,,240,140,RIGHT,RIGHT,1,FRONT,390,330,140
59,59,0,80,380,330,140,,,,250,140,RIGHT,RIGHT,1,FRONT,380,330,140
60,60,0,70,370,330,140,,,,260,140,RIGHT,RIGHT,1,FRONT,370,330,140
61,61,0,60,360,330,140,,,,270,140,RIGHT,RIGHT,1,FRONT,360,330,140
62,62,0,50,350,330,140,,,,280,140,RIGHT,RIGHT,1,FRONT,350,330,140
63,63,0,40,340,330,140,,,,290,140,RIGHT,RIGHT,1,FRONT,340,330,140
64,64,0,30,330,330,140,,,,300,140,RIGHT,RIGHT,1,FRONT,330,330,140
65,65,0,20,320,330,140,,,,310,140,RIGHT,RIGHT,1,FRONT,320,330,140
66,66,0,10,310,330,140,,,,320,140,RIGHT,RIGHT,1,FRONT,310,330,140
67,67,0,0,300,330,140,,,,330,140,RIGHT,RIGHT,1,FRONT,300,330,140
