,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min
0,0,80,-50,520,420,50,,,,110,50,RIGHT,RIGHT,0,FRONT,520,420,50
1,1,80,-60,510,420,50,,,,120,50,RIGHT,RIGHT,0,FRONT,510,420,50
2,2,80,-70,500,420,50,,,,130,50,RIGHT,RIGHT,0,FRONT,500,420,50
3,3,80,-80,490,420,50,,,,140,50,RIGHT,RIGHT,0,FRONT,490,420,50
4,4,80,-90,480,420,50,,,,150,50,RIGHT,RIGHT,0,FRONT,480,420,50
5,5,80,-100,470,420,50,,,,160,50,RIGHT,RIGHT,0,FRONT,470,420,50
6,6,80,-110,460,420,50,,,,170,50,RIGHT,RIGHT,0,FRONT,460,420,50
7,7,80,-120,450,420,50,,,,180,50,RIGHT,RIGHT,0,FRONT,450,420,50
8,8,80,-130,440,420,50,,,,190,50,RIGHT,RIGHT,0,FRONT,440,420,50
9,9,80,-140,430,420,50,,,,200,50,RIGHT,RIGHT,0,FRONT,430,420,50
10,10,80,-150,420,420,50,,,,210,50,RIGHT,RIGHT,0,FRONT,420,420,50
11,11,80,-160,410,420,50,,,,220,50,RIGHT,RIGHT,0,FRONT,410,420,50
12,12,80,-170,400,420,50,,,,230,50,RIGHT,RIGHT,0,FRONT,400,420,50
13,13,80,-180,390,420,50,,,,240,50,RIGHT,RIGHT,0,FRONT,390,420,50
14,14,80,-190,380,420,50,,,,250,50,RIGHT,RIGHT,0,FRONT,380,420,50
15,15,80,-200,370,420,50,,,,260,50,RIGHT,RIGHT,0,FRONT,370,420,50
16,16,80,-210,360,420,50,,,,270,50,RIGHT,RIGHT,0,FRONT,360,420,50
17,17,80,-220,350,420,50,,,,280,50,RIGHT,RIGHT,0,FRONT,350,420,50
18,18,80,-230,340,420,50,,,,290,50,RIGHT,RIGHT,0,FRONT,340,420,50
19,19,80,-240,330,420,50,,,,300,50,RIGHT,RIGHT,0,FRONT,330,420,50
20,20,80,-250,320,420,50,,,,310,50,RIGHT,RIGHT,0,FRONT,320,420,50
21,21,80,-260,310,420,50,,,,320,50,RIGHT,RIGHT,0,FRONT,310,420,50
22,22,80,-270,300,420,50,,,,330,50,RIGHT,RIGHT,0,FRONT,300,420,50
23,23,80,-280,290,420,50,,,,340,50,RIGHT,RIGHT,0,FRONT,290,420,50
24,24,80,-290,280,420,50,,,,350,50,RIGHT,RIGHT,0,FRONT,280,420,50
25,25,80,-300,270,420,50,,,,360,50,RIGHT,RIGHT,0,FRONT,270,420,50
26,26,80,-310,260,420,50,,,,370,50,RIGHT,RIGHT,0,FRONT,260,420,50
27,27,80,-320,250,420,50,,,,380,50,RIGHT,RIGHT,0,FRONT,250,420,50
28,28,80,-330,240,420,50,,,,390,50,RIGHT,RIGHT,0,FRONT,240,420,50
29,29,80,-340,230,420,50,,,,400,50,RIGHT,RIGHT,0,FRONT,230,420,50
30,30,80,-350,220,420,50,,,,410,50,RIGHT,RIGHT,0,FRONT,220,420,50
31,31,80,-360,210,420,50,,,,420,50,RIGHT,RIGHT,0,FRONT,210,420,50
32,32,80,-370,200,420,50,,,,430,50,RIGHT,RIGHT,0,FRONT,200,420,50
33,33,80,-380,190,420,50,,,,440,50,RIGHT,RIGHT,0,FRONT,190,420,50
34,34,80,-390,180,420,50,,,,450,50,RIGHT,RIGHT,0,FRONT,180,420,50
35,35,80,-400,170,420,50,,,,460,50,RIGHT,RIGHT,0,FRONT,170,420,50
36,36,80,-410,160,420,50,,,,470,50,RIGHT,RIGHT,0,FRONT,160,420,50
37,37,80,-420,150,420,50,,,,480,50,RIGHT,RIGHT,0,FRONT,150,420,50
38,38,80,-430,140,420,50,,,,490,50,RIGHT,RIGHT,0,FRONT,140,420,50
39,39,80,-440,130,420,50,,,,500,50,RIGHT,RIGHT,0,FRONT,130,420,50
40,40,80,-450,120,420,50,,,,510,50,RIGHT,RIGHT,0,FRONT,120,420,50
41,41,80,-460,110,420,50,,,,520,50,RIGHT,RIGHT,0,FRONT,110,420,50
42,42,80,-470,100,420,50,,,,530,50,RIGHT,RIGHT,0,FRONT,100,420,50
43,43,80,-480,90,420,50,,,,540,50,RIGHT,RIGHT,0,FRONT,90,420,50
44,44,80,-490,80,420,50,,,,550,50,RIGHT,RIGHT,0,FRONT,80,420,50
45,45,80,-500,70,420,50,,,,560,50,RIGHT,RIGHT,0,FRONT,70,420,50
46,46,80,-510,60,420,50,,,,570,50,RIGHT,RIGHT,0,FRONT,60,420,50
47,47,80,-520,50,420,50,,,,580,50,RIGHT,RIGHT,0,FRONT,50,420,50
48,48,80,-530,40,420,50,,,,590,50,RIGHT,DOWN,0,RIGHT,40,420,50
49,49,530,70,410,590,40,,,,590,60,DOWN,DOWN,0,FRONT,410,590,40
50,50,530,60,400,590,40,,,,590,70,DOWN,DOWN,0,FRONT,400,590,40
51,51,530,50,390,590,40,,,,590,80,DOWN,DOWN,0,FRONT,390,590,40
52,52,530,40,380,590,40,,,,590,90,DOWN,DOWN,0,FRONT,380,590,40
53,53,530,30,370,590,40,,,,590,100,DOWN,DOWN,0,FRONT,370,590,40
54,54,530,20,360,590,40,,,,590,110,DOWN,DOWN,0,FRONT,360,590,40
55,55,530,10,350,590,40,,,,590,120,DOWN,DOWN,0,FRONT,350,590,40
56,56,530,0,340,590,40,,,,590,130,DOWN,DOWN,0,FRONT,340,590,40
57,57,530,-10,330,590,40,,,,590,140,DOWN,DOWN,0,FRONT,330,590,40
58,58,530,-20,320,590,40,,,,590,150,DOWN,DOWN,0,FRONT,320,590,40
59,59,530,-30,310,590,40,,,,590,160,DOWN,DOWN,0,FRONT,310,590,40
60,60,530,-40,300,590,40,,,,590,170,DOWN,DOWN,0,FRONT,300,590,40
61,61,530,-50,290,590,40,,,,590,180,DOWN,DOWN,0,FRONT,290,590,40
62,62,530,-60,280,590,40,,,,590,190,DOWN,DOWN,0,FRONT,280,590,40
63,63,530,-70,270,590,40,,,,590,200,DOWN,DOWN,0,FRONT,270,590,40
64,64,530,-80,260,590,40,,,,590,210,DOWN,DOWN,0,FRONT,260,590,40
65,65,530,-90,250,590,40,,,,590,220,DOWN,DOWN,0,FRONT,250,590,40
66,66,530,-100,240,590,40,,,,590,230,DOWN,DOWN,0,FRONT,240,590,40
67,67,530,-110,230,590,40,,,,590,240,DOWN,DOWN,0,FRONT,230,590,40
68,68,530,-120,220,590,40,,,,590,250,DOWN,DOWN,0,FRONT,220,590,40
69,69,530,-130,210,590,40,,,,590,260,DOWN,DOWN,0,FRONT,210,590,40
70,70,530,-140,200,590,40,,,,590,270,DOWN,DOWN,0,FRONT,200,590,40
71,71,530,-150,190,590,40,,,,590,280,DOWN,DOWN,0,FRONT,190,590,40
72,72,530,-160,180,590,40,,,,590,290,DOWN,DOWN,0,FRONT,180,590,40
73,73,530,-170,170,590,40,,,,590,300,DOWN,DOWN,0,FRONT,170,590,40
74,74,530,-180,160,590,40,,,,590,310,DOWN,DOWN,0,FRONT,160,590,40
75,75,530,-190,150,590,40,,,,590,320,DOWN,DOWN,0,FRONT,150,590,40
76,76,530,-200,140,590,40,,,,590,330,DOWN,DOWN,0,FRONT,140,590,40
77,77,530,-210,130,590,40,,,,590,340,DOWN,DOWN,0,FRONT,130,590,40
78,78,530,-220,120,590,40,,,,590,350,DOWN,DOWN,0,FRONT,120,590,40
79,79,530,-230,110,590,40,,,,590,360,DOWN,DOWN,0,FRONT,110,590,40
80,80,530,-240,100,590,40,,,,590,370,DOWN,DOWN,0,FRONT,100,590,40
81,81,530,-250,90,590,40,,,,590,380,DOWN,DOWN,0,FRONT,90,590,40
82,82,530,-260,80,590,40,,,,590,390,DOWN,DOWN,0,FRONT,80,590,40
83,83,530,-270,70,590,40,,,,590,400,DOWN,DOWN,0,FRONT,70,590,40
84,84,530,-280,60,590,40,,,,590,410,DOWN,DOWN,0,FRONT,60,590,40
85,85,530,-290,50,590,40,,,,590,420,DOWN,DOWN,0,FRONT,50,590,40
86,86,530,-300,40,590,40,,,,590,430,DOWN,DOWN,0,FRONT,40,590,40
87,87,530,-310,30,590,40,,,,590,440,DOWN,LEFT,0,RIGHT,30,590,40
88,88,310,520,580,440,30,,,,580,440,LEFT,LEFT,0,FRONT,580,440,30
89,89,310,510,570,440,30,,,,570,440,LEFT,LEFT,0,FRONT,570,440,30
90,90,310,500,560,440,30,,,,560,440,LEFT,LEFT,0,FRONT,560,440,30
91,91,310,490,550,440,30,,,,550,440,LEFT,LEFT,0,FRONT,550,440,30
92,92,310,480,540,440,30,,,,540,440,LEFT,LEFT,0,FRONT,540,440,30
93,93,310,470,530,440,30,,,,530,440,LEFT,LEFT,0,FRONT,530,440,30
94,94,310,460,520,440,30,,,,520,440,LEFT,LEFT,0,FRONT,520,440,30
95,95,310,450,510,440,30,,,,510,440,LEFT,LEFT,0,FRONT,510,440,30
