,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min
0,0,50,70,520,420,50,,,,110,50,RIGHT,RIGHT,0,FRONT,520,420,50
1,1,50,60,510,420,50,,,,120,50,RIGHT,RIGHT,0,FRONT,510,420,50
2,2,50,50,500,420,50,,,,130,50,RIGHT,RIGHT,0,FRONT,500,420,50
3,3,50,40,490,420,50,,,,140,50,RIGHT,RIGHT,0,FRONT,490,420,50
4,4,50,30,480,420,50,,,,150,50,RIGHT,RIGHT,0,FRONT,480,420,50
5,5,50,20,470,420,50,,,,160,50,RIGHT,RIGHT,0,FRONT,470,420,50
6,6,50,10,460,420,50,,,,170,50,RIGHT,RIGHT,0,FRONT,460,420,50
7,7,50,0,450,420,50,,,,180,50,RIGHT,DOWN,0,RIGHT,450,420,50
8,8,0,40,410,180,450,,,,180,60,DOWN,DOWN,0,FRONT,410,180,450
9,9,0,30,400,180,450,,,,180,70,DOWN,DOWN,0,FRONT,400,180,450
10,10,0,20,390,180,450,,,,180,80,DOWN,DOWN,0,FRONT,390,180,450
11,11,0,10,380,180,450,,,,180,90,DOWN,DOWN,0,FRONT,380,180,450
12,12,0,0,370,180,450,,,,180,100,DOWN,DOWN,0,FRONT,370,180,450
13,13,-310,250,360,180,450,,,,180,110,DOWN,DOWN,1,FRONT,360,180,450
14,14,-310,240,350,180,450,,,,180,120,DOWN,DOWN,1,FRONT,350,180,450
15,15,-310,230,340,180,450,,,,180,130,DOWN,DOWN,1,FRONT,340,180,450
16,16,-310,220,330,180,450,,,,180,140,DOWN,DOWN,1,FRONT,330,180,450
17,17,-310,210,320,180,450,,,,180,150,DOWN,DOWN,1,FRONT,320,180,450
18,18,-310,200,310,180,450,,,,180,160,DOWN,DOWN,1,FRONT,310,180,450
19,19,-310,190,300,180,450,,,,180,170,DOWN,DOWN,1,FRONT,300,180,450
20,20,-310,180,290,180,450,,,,180,180,DOWN,DOWN,1,FRONT,290,180,450
21,21,-310,170,280,180,450,,,,180,190,DOWN,DOWN,1,FRONT,280,180,450
22,22,-310,160,270,180,450,,,,180,200,DOWN,DOWN,1,FRONT,270,180,450
23,23,-310,150,260,180,450,,,,180,210,DOWN,DOWN,1,FRONT,260,180,450
24,24,-310,140,250,180,450,,,,180,220,DOWN,DOWN,1,FRONT,250,180,450
25,25,-310,130,240,180,450,,,,180,230,DOWN,DOWN,1,FRONT,240,180,450
26,26,-310,120,230,180,450,,,,180,240,DOWN,DOWN,1,FRONT,230,180,450
27,27,-310,110,220,180,450,,,,180,250,DOWN,DOWN,1,FRONT,220,180,450
28,28,-310,100,210,180,450,,,,180,260,DOWN,DOWN,1,FRONT,210,180,450
29,29,-310,90,200,180,450,,,,180,270,DOWN,DOWN,1,FRONT,200,180,450
30,30,-310,80,190,180,450,,,,180,280,DOWN,DOWN,1,FRONT,190,180,450
31,31,-310,70,180,180,450,,,,180,290,DOWN,DOWN,1,FRONT,180,180,450
32,32,-310,60,170,180,450,,,,180,300,DOWN,DOWN,1,FRONT,170,180,450
33,33,-310,50,160,180,450,,,,180,310,DOWN,DOWN,1,FRONT,160,180,450
34,34,-310,40,150,180,450,,,,180,320,DOWN,DOWN,1,FRONT,150,180,450
35,35,-310,30,140,180,450,,,,180,330,DOWN,DOWN,1,FRONT,140,180,450
36,36,-310,20,130,180,450,,,,180,340,DOWN,DOWN,1,FRONT,130,180,450
37,37,-310,10,120,180,450,,,,180,350,DOWN,RIGHT,1,LEFT,120,180,450
38,38,10,300,440,120,350,,,,190,350,RIGHT,RIGHT,1,FRONT,440,120,350
39,39,10,290,430,120,350,,,,200,350,RIGHT,RIGHT,1,FRONT,430,120,350
40,40,10,280,420,120,350,,,,210,350,RIGHT,RIGHT,1,FRONT,420,120,350
41,41,10,270,410,120,350,,,,220,350,RIGHT,RIGHT,1,FRONT,410,120,350
42,42,10,260,400,120,350,,,,230,350,RIGHT,RIGHT,1,FRONT,400,120,350
43,43,10,250,390,120,350,,,,240,350,RIGHT,RIGHT,1,FRONT,390,120,350
44,44,10,240,380,120,350,,,,250,350,RIGHT,RIGHT,1,FRONT,380,120,350
45,45,10,230,370,120,350,,,,260,350,RIGHT,RIGHT,1,FRONT,370,120,350
46,46,10,220,360,120,350,,,,270,350,RIGHT,RIGHT,1,FRONT,360,120,350
47,47,10,210,350,120,350,,,,280,350,RIGHT,RIGHT,1,FRONT,350,120,350
48,48,10,200,340,120,350,,,,290,350,RIGHT,RIGHT,1,FRONT,340,120,350
49,49,10,190,330,120,350,,,,300,350,RIGHT,RIGHT,1,FRONT,330,120,350
50,50,10,180,320,120,350,,,,310,350,RIGHT,RIGHT,1,FRONT,320,120,350
51,51,10,170,310,120,350,,,,320,350,RIGHT,RIGHT,1,FRONT,310,120,350
