,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min
0,0,280,300,520,420,50,,,,110,50,RIGHT,RIGHT,0,FRONT,520,420,50
1,1,280,290,510,420,50,,,,120,50,RIGHT,RIGHT,0,FRONT,510,420,50
2,2,280,280,500,420,50,,,,130,50,RIGHT,RIGHT,0,FRONT,500,420,50
3,3,280,270,490,420,50,,,,140,50,RIGHT,RIGHT,0,FRONT,490,420,50
4,4,280,260,480,420,50,,,,150,50,RIGHT,RIGHT,0,FRONT,480,420,50
5,5,280,250,470,420,50,,,,160,50,RIGHT,RIGHT,0,FRONT,470,420,50
6,6,280,240,460,420,50,,,,170,50,RIGHT,RIGHT,0,FRONT,460,420,50
7,7,280,230,450,420,50,,,,180,50,RIGHT,RIGHT,0,FRONT,450,420,50
8,8,280,220,440,420,50,,,,190,50,RIGHT,RIGHT,0,FRONT,440,420,50
9,9,280,210,430,420,50,,,,200,50,RIGHT,RIGHT,0,FRONT,430,420,50
10,10,280,200,420,420,50,,,,210,50,RIGHT,RIGHT,0,FRONT,420,420,50
11,11,280,190,410,420,50,,,,220,50,RIGHT,RIGHT,0,FRONT,410,420,50
12,12,280,180,400,420,50,,,,230,50,RIGHT,RIGHT,0,FRONT,400,420,50
13,13,280,170,390,420,50,,,,240,50,RIGHT,RIGHT,0,FRONT,390,420,50
14,14,280,160,380,420,50,,,,250,50,RIGHT,RIGHT,0,FRONT,380,420,50
15,15,280,150,370,420,50,,,,260,50,RIGHT,RIGHT,0,FRONT,370,420,50
16,16,280,140,360,420,50,,,,270,50,RIGHT,RIGHT,0,FRONT,360,420,50
17,17,280,130,350,420,50,,,,280,50,RIGHT,RIGHT,0,FRONT,350,420,50
18,18,280,120,340,420,50,,,,290,50,RIGHT,RIGHT,0,FRONT,340,420,50
19,19,280,110,330,420,50,,,,300,50,RIGHT,RIGHT,0,FRONT,330,420,50
20,20,280,100,320,420,50,,,,310,50,RIGHT,RIGHT,0,FRONT,320,420,50
21,21,280,90,310,420,50,,,,320,50,RIGHT,RIGHT,0,FRONT,310,420,50
22,22,280,80,300,420,50,,,,330,50,RIGHT,RIGHT,0,FRONT,300,420,50
23,23,280,70,290,420,50,,,,340,50,RIGHT,RIGHT,0,FRONT,290,420,50
24,24,280,60,280,420,50,,,,350,50,RIGHT,RIGHT,0,FRONT,280,420,50
25,25,280,50,270,420,50,,,,360,50,RIGHT,RIGHT,0,FRONT,270,420,50
26,26,280,40,260,420,50,,,,370,50,RIGHT,RIGHT,0,FRONT,260,420,50
27,27,280,30,250,420,50,,,,380,50,RIGHT,RIGHT,0,FRONT,250,420,50
28,28,280,20,240,420,50,,,,390,50,RIGHT,RIGHT,0,FRONT,240,420,50
29,29,280,10,230,420,50,,,,400,50,RIGHT,RIGHT,0,FRONT,230,420,50
30,30,280,0,220,420,50,,,,410,50,RIGHT,RIGHT,0,FRONT,220,420,50
31,31,280,-10,210,420,50,,,,420,50,RIGHT,DOWN,0,RIGHT,210,420,50
32,32,10,270,410,420,210,,,,420,60,DOWN,DOWN,0,FRONT,410,420,210
33,33,10,260,400,420,210,,,,420,70,DOWN,DOWN,0,FRONT,400,420,210
34,34,10,250,390,420,210,,,,420,80,DOWN,DOWN,0,FRONT,390,420,210
35,35,10,240,380,420,210,,,,420,90,DOWN,DOWN,0,FRONT,380,420,210
36,36,10,230,370,420,210,,,,420,100,DOWN,DOWN,0,FRONT,370,420,210
37,37,10,220,360,420,210,,,,420,110,DOWN,DOWN,0,FRONT,360,420,210
38,38,10,210,350,420,210,,,,420,120,DOWN,DOWN,0,FRONT,350,420,210
39,39,10,200,340,420,210,,,,420,130,DOWN,DOWN,0,FRONT,340,420,210
40,40,10,190,330,420,210,,,,420,140,DOWN,DOWN,0,FRONT,330,420,210
41,41,10,180,320,420,210,,,,420,150,DOWN,DOWN,0,FRONT,320,420,210
42,42,10,170,310,420,210,,,,420,160,DOWN,DOWN,0,FRONT,310,420,210
43,43,10,160,300,420,210,,,,420,170,DOWN,DOWN,0,FRONT,300,420,210
44,44,10,150,290,420,210,,,,420,180,DOWN,DOWN,0,FRONT,290,420,210
45,45,10,140,280,420,210,,,,420,190,DOWN,DOWN,0,FRONT,280,420,210
46,46,10,130,270,420,210,,,,420,200,DOWN,DOWN,0,FRONT,270,420,210
47,47,10,120,260,420,210,,,,420,210,DOWN,DOWN,0,FRONT,260,420,210
48,48,10,110,250,420,210,,,,420,220,DOWN,DOWN,0,FRONT,250,420,210
49,49,10,100,240,420,210,,,,420,230,DOWN,DOWN,0,FRONT,240,420,210
50,50,10,90,230,420,210,,,,420,240,DOWN,DOWN,0,FRONT,230,420,210
51,51,10,80,220,420,210,,,,420,250,DOWN,DOWN,0,FRONT,220,420,210
52,52,10,70,210,420,210,,,,420,260,DOWN,DOWN,0,FRONT,210,420,210
53,53,10,60,200,420,210,,,,420,270,DOWN,DOWN,0,FRONT,200,420,210
54,54,10,50,190,420,210,,,,420,280,DOWN,DOWN,0,FRONT,190,420,210
55,55,10,40,180,420,210,,,,420,290,DOWN,DOWN,0,FRONT,180,420,210
56,56,10,30,170,420,210,,,,420,300,DOWN,DOWN,0,FRONT,170,420,210
57,57,10,20,160,420,210,,,,420,310,DOWN,DOWN,0,FRONT,160,420,210
58,58,10,10,150,420,210,,,,420,320,DOWN,DOWN,0,FRONT,150,420,210
59,59,10,0,140,420,210,,,,420,330,DOWN,DOWN,0,FRONT,140,420,210
60,60,10,-10,130,420,210,,,,420,340,DOWN,DOWN,0,FRONT,130,420,210
