,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score
0,0,260,-30,520,420,50,,,,110,50,RIGHT,RIGHT,0
1,1,260,-40,510,420,50,,,,120,50,RIGHT,RIGHT,0
2,2,260,-50,500,420,50,,,,130,50,RIGHT,RIGHT,0
3,3,260,-60,490,420,50,,,,140,50,RIGHT,RIGHT,0
4,4,260,-70,480,420,50,,,,150,50,RIGHT,RIGHT,0
5,5,260,-80,470,420,50,,,,160,50,RIGHT,RIGHT,0
6,6,260,-90,460,420,50,,,,170,50,RIGHT,RIGHT,0
7,7,260,-100,450,420,50,,,,180,50,RIGHT,RIGHT,0
8,8,260,-110,440,420,50,,,,190,50,RIGHT,RIGHT,0
9,9,260,-120,430,420,50,,,,200,50,RIGHT,RIGHT,0
10,10,260,-130,420,420,50,,,,210,50,RIGHT,RIGHT,0
11,11,260,-140,410,420,50,,,,220,50,RIGHT,RIGHT,0
12,12,260,-150,400,420,50,,,,230,50,RIGHT,RIGHT,0
13,13,260,-160,390,420,50,,,,240,50,RIGHT,RIGHT,0
14,14,160,250,410,240,390,,,,240,60,RIGHT,DOWN,0
15,15,160,240,400,240,390,,,,240,70,DOWN,DOWN,0
16,16,160,230,390,240,390,,,,240,80,DOWN,DOWN,0
17,17,160,220,380,240,390,,,,240,90,DOWN,DOWN,0
18,18,160,210,370,240,390,,,,240,100,DOWN,DOWN,0
19,19,160,200,360,240,390,,,,240,110,DOWN,DOWN,0
20,20,160,190,350,240,390,,,,240,120,DOWN,DOWN,0
21,21,160,180,340,240,390,,,,240,130,DOWN,DOWN,0
22,22,160,170,330,240,390,,,,240,140,DOWN,DOWN,0
23,23,160,160,320,240,390,,,,240,150,DOWN,DOWN,0
24,24,160,150,310,240,390,,,,240,160,DOWN,DOWN,0
25,25,160,140,300,240,390,,,,240,170,DOWN,DOWN,0
26,26,160,130,290,240,390,,,,240,180,DOWN,DOWN,0
27,27,160,120,280,240,390,,,,240,190,DOWN,DOWN,0
28,28,160,110,270,240,390,,,,240,200,DOWN,DOWN,0
29,29,160,100,260,240,390,,,,240,210,DOWN,DOWN,0
30,30,160,90,250,240,390,,,,240,220,DOWN,DOWN,0
31,31,160,80,240,240,390,,,,240,230,DOWN,DOWN,0
32,32,160,70,230,240,390,,,,240,240,DOWN,DOWN,0
33,33,160,60,220,240,390,,,,240,250,DOWN,DOWN,0
34,34,160,50,210,240,390,,,,240,260,DOWN,DOWN,0
35,35,160,40,200,240,390,,,,240,270,DOWN,DOWN,0
36,36,160,30,190,240,390,,,,240,280,DOWN,DOWN,0
37,37,160,20,180,240,390,,,,240,290,DOWN,DOWN,0
38,38,160,10,170,240,390,,,,240,300,DOWN,DOWN,0
39,39,-10,150,230,300,170,,,,230,300,DOWN,LEFT,0
40,40,-10,140,220,300,170,,,,220,300,LEFT,LEFT,0
41,41,-10,130,210,300,170,,,,210,300,LEFT,LEFT,0
42,42,-10,120,200,300,170,,,,200,300,LEFT,LEFT,0
43,43,-10,110,190,300,170,,,,190,300,LEFT,LEFT,0
44,44,-10,100,180,300,170,,,,180,300,LEFT,LEFT,0
45,45,-10,90,170,300,170,,,,170,300,LEFT,LEFT,0
46,46,-10,80,160,300,170,,,,160,300,LEFT,LEFT,0
47,47,-10,70,150,300,170,,,,150,300,LEFT,LEFT,0
48,48,-10,60,140,300,170,,,,140,300,LEFT,LEFT,0
49,49,-10,50,130,300,170,,,,130,300,LEFT,LEFT,0
50,50,-10,40,120,300,170,,,,120,300,LEFT,LEFT,0
51,51,-10,30,110,300,170,,,,110,300,LEFT,LEFT,0
52,52,-10,20,100,300,170,,,,100,300,LEFT,LEFT,0
53,53,-10,10,90,300,170,,,,90,300,LEFT,LEFT,0
54,54,-10,0,80,300,170,,,,80,300,LEFT,LEFT,0
55,55,0,0,160,80,550,,,,80,310,LEFT,DOWN,0
56,56,-70,-100,150,80,550,,,,80,320,DOWN,DOWN,1
57,57,-70,-110,140,80,550,,,,80,330,DOWN,DOWN,1
58,58,-70,-120,130,80,550,,,,80,340,DOWN,DOWN,1
59,59,-70,-130,120,80,550,,,,80,350,DOWN,DOWN,1
60,60,-70,-140,110,80,550,,,,80,360,DOWN,DOWN,1
61,61,-140,60,540,110,360,,,,90,360,DOWN,RIGHT,1
62,62,-140,50,530,110,360,,,,100,360,RIGHT,RIGHT,1
63,63,-140,40,520,110,360,,,,110,360,RIGHT,RIGHT,1
64,64,-140,30,510,110,360,,,,120,360,RIGHT,RIGHT,1
65,65,-140,20,500,110,360,,,,130,360,RIGHT,RIGHT,1
66,66,-140,10,490,110,360,,,,140,360,RIGHT,RIGHT,1
67,67,-140,0,480,110,360,,,,150,360,RIGHT,RIGHT,1
68,68,0,130,350,480,150,,,,150,350,RIGHT,UP,1
69,69,0,120,340,480,150,,,,150,340,UP,UP,1
70,70,0,110,330,480,150,,,,150,330,UP,UP,1
71,71,0,100,320,480,150,,,,150,320,UP,UP,1
72,72,0,90,310,480,150,,,,150,310,UP,UP,1
73,73,0,80,300,480,150,,,,150,300,UP,UP,1
74,74,0,70,290,480,150,,,,150,290,UP,UP,1
75,75,0,60,280,480,150,,,,150,280,UP,UP,1
76,76,0,50,270,480,150,,,,150,270,UP,UP,1
77,77,0,40,260,480,150,,,,150,260,UP,UP,1
78,78,0,30,250,480,150,,,,150,250,UP,UP,1
79,79,0,20,240,480,150,,,,150,240,UP,UP,1
80,80,0,10,230,480,150,,,,150,230,UP,UP,1
81,81,0,0,220,480,150,,,,150,220,UP,UP,1
82,82,0,0,210,480,150,,,,150,210,UP,UP,2
83,83,140,-110,200,480,150,,,,150,200,UP,UP,3
84,84,140,-120,190,480,150,,,,150,190,UP,UP,3
85,85,140,-130,180,480,150,,,,150,180,UP,UP,3
86,86,140,-140,170,480,150,,,,150,170,UP,UP,3
87,87,140,-150,160,480,150,,,,150,160,UP,UP,3
88,88,140,-160,150,480,150,,,,150,150,UP,UP,3
89,89,140,-170,140,480,150,,,,150,140,UP,UP,3
90,90,140,-180,130,480,150,,,,150,130,UP,UP,3
91,91,180,130,470,340,130,,,,160,130,UP,RIGHT,3
92,92,180,120,460,340,130,,,,170,130,RIGHT,RIGHT,3
93,93,180,110,450,340,130,,,,180,130,RIGHT,RIGHT,3
94,94,180,100,440,340,130,,,,190,130,RIGHT,RIGHT,3
95,95,180,90,430,340,130,,,,200,130,RIGHT,RIGHT,3
96,96,180,80,420,340,130,,,,210,130,RIGHT,RIGHT,3
97,97,180,70,410,340,130,,,,220,130,RIGHT,RIGHT,3
98,98,180,60,400,340,130,,,,230,130,RIGHT,RIGHT,3
99,99,180,50,390,340,130,,,,240,130,RIGHT,RIGHT,3
100,100,180,40,380,340,130,,,,250,130,RIGHT,RIGHT,3
101,101,180,30,370,340,130,,,,260,130,RIGHT,RIGHT,3
102,102,180,20,360,340,130,,,,270,130,RIGHT,RIGHT,3
103,103,180,10,350,340,130,,,,280,130,RIGHT,RIGHT,3
104,104,180,0,340,340,130,,,,290,130,RIGHT,RIGHT,3
105,105,0,170,330,290,340,,,,290,140,RIGHT,DOWN,3
106,106,0,160,320,290,340,,,,290,150,DOWN,DOWN,3
107,107,0,150,310,290,340,,,,290,160,DOWN,DOWN,3
108,108,0,140,300,290,340,,,,290,170,DOWN,DOWN,3
