,Unnamed: 0,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min,run
0,1734,1734,10,0,10,140,490,0.0,10.0,,490,10,UP,RIGHT,35,RIGHT,0,10,490,dist_min_dist_ale
1,563,563,110,-50,440,210,260,,,,190,260,RIGHT,RIGHT,2,FRONT,440,210,260,dist_min_dist_ale
2,804,804,-270,-10,340,10,620,,,,10,130,DOWN,RIGHT,19,LEFT,340,10,620,dist_min_dist_ale
3,677,677,-10,380,400,480,150,,,0.0,480,70,DOWN,DOWN,12,FRONT,400,480,0,dist_min_dist_ale
4,828,828,0,0,260,410,220,,,,410,210,DOWN,LEFT,20,RIGHT,260,410,220,dist_min_dist_ale
5,1239,1239,0,230,410,160,310,10.0,80.0,,410,160,LEFT,LEFT,29,FRONT,10,80,310,dist_min_dist_ale
6,2272,2272,100,50,410,520,110,10.0,100.0,0.0,110,410,UP,UP,49,FRONT,10,100,0,dist_min_dist_ale
7,768,768,0,0,120,390,240,90.0,,10.0,390,350,DOWN,RIGHT,14,LEFT,90,390,10,dist_min_dist_ale
8,891,891,0,370,370,240,230,10.0,,0.0,260,230,RIGHT,RIGHT,24,FRONT,10,240,0,dist_min_dist_ale
9,1525,1525,80,60,300,250,220,10.0,0.0,10.0,300,250,LEFT,LEFT,35,FRONT,10,0,10,dist_min_dist_ale
10,654,654,-160,-180,300,0,470,,,,330,470,RIGHT,RIGHT,16,FRONT,300,0,470,dist_min_dist_ale
11,402,402,0,10,510,110,360,,0.0,,120,360,RIGHT,RIGHT,11,FRONT,510,0,360,dist_min_dist_ale
12,406,406,0,0,310,380,250,60.0,,0.0,380,160,DOWN,DOWN,10,FRONT,60,380,0,dist_min_dist_ale
13,434,434,0,0,350,340,290,,,,290,350,UP,RIGHT,10,RIGHT,350,340,290,dist_min_dist_ale
14,952,952,120,10,420,220,250,,0.0,,210,250,RIGHT,RIGHT,20,FRONT,420,0,250,dist_min_dist_ale
15,1059,1059,-10,0,240,180,450,,,10.0,450,240,UP,LEFT,25,LEFT,240,180,10,dist_min_dist
16,229,229,190,-20,440,200,430,,,,430,440,UP,RIGHT,2,RIGHT,440,200,430,dist_min_dist
17,618,618,250,30,100,360,110,10.0,,0.0,530,110,RIGHT,RIGHT,15,FRONT,10,360,0,dist_min_dist
18,1700,1700,0,0,220,490,140,,,,490,250,DOWN,LEFT,36,RIGHT,220,490,140,dist_min_dist
19,836,836,-120,10,570,130,340,,,10.0,60,340,RIGHT,UP,16,LEFT,570,130,10,dist_min_dist
